# Documents,Doc Preprocessing Time,Hierarchical Clustering Time,Topic Extraction Time,Indexing Time,Document Index Size,Topic Index Size
,,,,,,
100,42.1942267,0.8404219,12.7069157,0.2546597,0.037879944,0.054168701
200,365.0546236,2.4334403,84.2999192,0.2582679,0.094596863,0.134490967
300,407.6944198,2.5237695,174.792191,0.5266524,0.157272339,0.208892822
400,464.9004485,6.6341404,291.0899046,0.2647797,0.262550354,0.299957275
500,770.7954989,4.5194244,385.1035936,0.2345674,0.348075867,0.409599304
600,828.9612656,6.0954179,521.1497251,0.2346539,0.396942139,0.449806213
700,1152.326092,7.3232318,685.672508,0.3973815,0.531532288,0.540512085
800,1181.914171,8.635841,854.0513123,0.2877207,0.569328308,0.568260193
900,1249.464149,11.1178288,1072.925805,0.5765997,0.618736267,0.60887146
1000,1283.806249,10.6903455,1295.552356,0.5442451,0.815292358,0.89302063
